stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_stationroutes,
2587,2587,"84 Street & 101 Avenue",,  53.541178,-113.456244,,,0,85,
2588,2588,"75 Street & McIntyre Road",,  53.494649,-113.442838,,,0,96,
2589,2589,"106 Street & Whitemud Drive",,  53.482103,-113.505667,,,0,6:33:45:73:80:304,
2590,2590,"85 Street & 82 Avenue",,  53.518082,-113.458871,,,0,4:94:322:323,
2591,2591,"79 Street & 106 Avenue",,  53.548954,-113.449368,,,0,1:94,
2592,2592,"57 Street & 90 Avenue",,  53.522740,-113.423257,,,0,80,
2593,2593,"85 Street & 82 Avenue",,  53.517973,-113.457842,,,0,4:94:306,
2594,2594,"71 Street & 101 Avenue",,  53.541103,-113.436457,,,0,1:91:99,
2595,2595,"49 Street & 94B Avenue",,  53.534219,-113.414774,,,0,80:85,
2596,2596,"92 Street & 90 Avenue",,  53.525528,-113.468275,,,0,151:322,
2597,2597,"79 Street & 73 Avenue",,  53.509519,-113.449593,,,0,80,
2598,2598,"50 Street & 72 Avenue",,  53.508414,-113.418120,,,0,82:83:84,
2599,2599,"75 Street & 86 Avenue",,  53.521134,-113.441179,,,0,80,
2600,2600,"109 Street & 83 Avenue",,  53.519067,-113.512531,,,0,313,
2601,2601,"109 Street & 78 Avenue",,  53.514235,-113.511424,,,0,313,
2602,2602,"75 Street & 90 Avenue",,  53.524448,-113.442760,,,0,4,
2603,2603,"108 Street & University Avenue",,  53.513800,-113.509466,,,0,313,
2604,2604,"97 Street & 74 Avenue",,  53.510214,-113.479895,,,0,323,
2605,2605,"108 Street & 70 Avenue",,  53.506411,-113.509390,,,0,313,
2606,2606,"83 Street & 93 Avenue",,  53.527780,-113.455720,,,0,307:322,
2607,2607,"17 Street & 70 Avenue",,  53.507126,-113.369198,,,0,83:306,
2608,2608,"75 Street & 86 Avenue",,  53.520760,-113.443024,,,0,4,
2609,2609,"84 Street & Roper Road",,  53.490739,-113.446765,,,0,33:68:69:72:84:92:96:370,
2611,2611,"75 Street & 86 Avenue",,  53.521511,-113.442750,,,0,4,
2612,2612,"75 Street & 80 Avenue",,  53.515865,-113.443050,,,0,96:306,
2613,2613,"82 Street & 94 Avenue",,  53.530207,-113.451234,,,0,307:322,
2615,2615,"75 Street & 90 Avenue",,  53.524327,-113.443125,,,0,4:80,
2616,2616,"79 Street & 98 Avenue",,  53.537618,-113.449854,,,0,85,
2617,2617,"110 Street & 82 Avenue",,  53.518414,-113.514966,,,0,313,
2618,2618,"84 Street & Roper Road",,  53.490458,-113.447632,,,0,33:68:69:72:84:92:96:370,
2619,2619,"107 Street & 51 Avenue",,  53.488329,-113.508567,,,0,6:52:80,
2620,2620,"97 Street & 58 Avenue",,  53.493864,-113.478574,,,0,80,
2621,2621,"99 Street & 73 Avenue",,  53.509732,-113.485997,,,0,70,
2622,2622,"86 Street & 58 Avenue",,  53.494019,-113.455850,,,0,80,
2623,2623,"111 Street & 54 Avenue",,  53.491030,-113.516510,,,0,9,
2625,2625,"114 Street & 87 Avenue",,  53.522356,-113.525439,,,0,4:51:54:94:106:739,
2626,2626,"115 Street & 76 Avenue",,  53.512273,-113.529257,,,0,327,
2627,2627,"109 Street & 72 Avenue",,  53.508110,-113.512191,,,0,9:51,
2628,2628,"Calgary Trail NB & 51 Avenue",,  53.488565,-113.491874,,,0,80,
2629,2629,"Calgary Trail NB & 58 Avenue",,  53.493455,-113.491866,,,0,80,
2630,2630,"106 Street & 51 Avenue",,  53.488340,-113.504919,,,0,6:80,
2631,2631,"109 Street & 62 Avenue",,  53.498632,-113.512091,,,0,9,
2632,2632,"104 Street & 82 Avenue",,  53.518440,-113.497399,,,0,52,
2634,2634,"106 Street & 70 Avenue",,  53.506390,-113.504505,,,0,52:54,
2635,2635,"105 Street & 51 Avenue",,  53.488419,-113.500831,,,0,6:52:80,
2637,2637,"99 Street & 92 Avenue",,  53.526503,-113.486191,,,0,7:57:70:81:87,
2638,2638,"114 Street & 85 Avenue",,  53.521283,-113.525445,,,0,4:51:54:94:106:128:739,
2639,2639,"111 Street & 54 Avenue",,  53.490181,-113.517030,,,0,9,
2640,2640,"99 Street & 72 Avenue",,  53.508200,-113.486409,,,0,70,
2641,2641,"112 Street & 86 Avenue",,  53.522316,-113.520985,,,0,4:7:51:54:57:94:106:128:313:926,
2642,2642,"105 Street & 76 Avenue",,  53.512289,-113.500093,,,0,52:54,
2643,2643,"88 Street & 58 Avenue",,  53.493974,-113.463762,,,0,80,
2644,2644,"106 Street & 47 Avenue",,  53.484477,-113.504545,,,0,6:33:45:73:80:304,
2645,2645,"109 Street & 76 Avenue",,  53.512308,-113.512799,,,0,327,
2646,2646,"99 Street & 78 Avenue",,  53.513910,-113.486280,,,0,70:81,
2647,2647,"104 Street & 77 Avenue",,  53.513537,-113.497415,,,0,52:54,
2648,2648,"111 Street & 76 Avenue",,  53.512310,-113.516902,,,0,327,
2649,2649,"116 Street & 76 Avenue",,  53.512275,-113.531689,,,0,327,
2650,2650,"99 Street & 79 Avenue",,  53.515412,-113.485972,,,0,70:81,
2651,2651,"104 Street & 58 Avenue",,  53.494830,-113.497818,,,0,80,
2652,2652,"99 Street & 54 Avenue",,  53.490076,-113.486254,,,0,70,
2653,2653,"104 Street & Saskatchewan Drive",,  53.522849,-113.497675,,,0,52,
2654,2654,"99 Street & 87 Avenue",,  53.522426,-113.486211,,,0,7:57:70:81:87,
2655,2655,"97 Street & 58 Avenue",,  53.494333,-113.479313,,,0,80,
2656,2656,"109 Street & 78 Avenue",,  53.514470,-113.511892,,,0,9:51:313:327:739,
2657,2657,"109 Street & 60 Avenue",,  53.497081,-113.511772,,,0,9:55,
2659,2659,"99 Street & 82 Avenue",,  53.518158,-113.486990,,,0,4:7:57:70:81:94,
